Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
30363088,The Keeper of Lost Things,Ruth Hogan,"Hogan, Ruth",,"=""""","=""""",2.0,William Morrow,ebook,288,2017,2017,,2022/10/12,,,read,,,,1,0
16735,The Prince of Tides,Pat Conroy,"Conroy, Pat",,"=""0553381547""","=""9780553381542""",4.0,Dial Press Trade Paperback,Paperback,679,2002,1986,,2022/10/12,,,read,,,,1,0
1971304,City of Thieves,David Benioff,"Benioff, David",,"=""0670018708""","=""9780670018703""",4.0,Viking / Penguin,Hardcover,258,2008,2008,2022/09/03,2022/09/04,,,read,"So much fun! Or maybe I should say very sad. Anyway, I really enjoyed this one. It was exactly what I was looking for after reading a couple of denser philosophy tomes recently. I found the growing friendship and love between Lev and Kolya to be touching and interesting, and I loved all of the discussion of Russian literature and music. I even enjoyed the love story between Lev and Vika, despite it feeling a little shoehorned in. I blame it on my personal weakness for the ""hapless fool falls for dangerous woman with a kind heart"" trope (am I manifesting?). I think the book strikes that difficult balance between centering on really tough, difficult, depressing subject matter and still maintaining a sense of levity and hope. Highly recommend it!",,,1,0
29780253,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",4.0,Doubleday Canada,Hardcover,289,2016,2016,2022/09/02,2022/09/04,,,read,"I liked this book a lot! I found it a fascinating and compelling blend of humor, touching family drama, and powerful history. I read the book instead of listening to the audiobook—which I hear was a mistake—but I could still hear Trevor Noah's voice in my head telling some of the jokes. ",,,1,0
25658482,At the Existentialist Café,Sarah Bakewell,"Bakewell, Sarah",,"=""0701186585""","=""9780701186586""",4.0,Chatto & Windus,Hardcover,440,2016,2016,2022/08/31,2022/09/04,,,read,"Before reading this book, I would have said I was a sucker for existentialism—I'd still say so now, but with a new understanding of what that means. I found it really refreshing, interesting, and fun to read about the lives of the existentialists entwined with their philosophy and to learn about how they tried to live and embody their ideas. What compelling characters! I'm certainly going to be reading some Beauvoir, Sartre, and Kierkegaard (though I may skip the Heidegger) in the coming weeks and months.",,,1,0
54746205,Velvet Was the Night,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0593356829""","=""9780593356821""",3.0,Del Rey,Hardcover,289,2021,2021,,2022/07/29,,,read,,,,1,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",4.0,Penguin Books,Paperback,495,2019,2016,,2022/07/29,,,read,,,,1,0
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,"=""1250304458""","=""9781250304452""",2.0,Celadon Books,Hardcover,337,2021,2021,2022/07/29,2022/07/29,,,read,"Eh. Convoluted thriller without a real sense of where it wanted to go—never had that awesome ""aha"" moment, much as it tried!",,,1,0
2343402,The Book of Eels: On the Trail of the Thin-Heads,Tom Fort,"Fort, Tom",,"=""""","=""""",0,Harpercollins Pub Ltd,Paperback,348,2003,2002,,2022/07/16,to-read,to-read (#2),to-read,,,,0,0
57917042,"Anatomy: A Love Story (The Anatomy Duology, #1)",Dana Schwartz,"Schwartz, Dana",,"=""""","=""""",0,Wednesday Books,Hardcover,338,2022,2022,,2022/07/01,to-read,to-read (#1),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",3.0,Ballantine Books,Hardcover,476,2021,2021,2022/05/04,2022/05/25,,,read,"I thought this was a fine science fiction book—a little bit young adult-y, which isn't entirely a criticism.  It definitely held my attention, and I thought the premise was awesome. The memory loss and flashbacks added a little variety to that formula, but I didn't find that quite enough not to get a little bored with the constant here's an obstacle, now let's solve it with science! Maybe I'm a little too cynical, but that became a bit boring over time. I did love a lot of the details about alien creatures and civilizations—great world-building! All in all, I had fun with this one but I doubt it's a book I'll come back to or think much about in the future.",,,1,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",4.0,Vintage Books,Paperback,559,2004,1992,2022/04/20,2022/05/02,,,read,"I read this book for the first time several years ago, maybe in 2016 or 2017, and it was great fun to re-read! I love the pace of this one, the growing sense of dread and unease Richard feels as he falls deeper and deeper into the morass surrounding Bunny's death, and the peculiar sense of displacement the novel evokes that is so distinctive to college life. I'm a big fan of the fractured timeline of the story and how the central conflict, the death of Bunny, is in the open from the beginning, while the surrounding events and context fill in slowly. Fundamentally, I think the story is about what it's like to feel alienated from oneself and one's surroundings, and the thrill and terror of finding people with whom to dissolve a little of that alienation. It doesn't beat The Goldfinch for me, but it's up there!",,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",4.0,Atria Books,Hardcover,389,2017,2017,2022/04/30,2022/05/02,,,read,"I liked this one! I thought the plot was great—really pulled me along, I loved the characters, and I enjoyed the romantic arcs throughout. I thought this also had the distinction of being one of the better ""frame novels"" I've read (forgive me, English teachers of my past and future, if I'm using that term wrongly). I really enjoyed the fact that the frame story and the framed story converged, and it was fun to try to predict how and when that would happen after the very early hints that it would.<br/><br/>My one qualm with this one was that I thought the writing was just ok. It read a bit like a teen beach read, with some overwrought dialogue and overly florid descriptions of the various love affairs. The faux news articles, especially, read a little like book reports. It also had some of my worst pet peeve in writing, which is TFC (Too Few Contractions)—when dialogue between characters includes unnatural lack of contractions. <br/><br/>Other than that, though, not much to complain about—read it all in one long sitting on a flight :) ",,,1,0
775346,The Little Friend,Donna Tartt,"Tartt, Donna",,"=""1400031699""","=""9781400031696""",2.0,Knopf Doubleday Publishing Group,Paperback,624,2003,2002,2022/04/27,2022/05/02,,,read,"This is definitely my least favorite Donna Tartt novel. First off, some things I loved:<br/><br/>- the atmospherics of small-town Mississippi in the early 70s—snakes, heat, Bible study, meth, the works.<br/>- Harriet's perspective (so relatable to me as a former bookish, analytical, awkward kid with a weakness for assuming I knew better than everyone else)<br/>- the deep, sympathetic characters. I especially loved Edie, the matriarch with a will of iron who is unwilling to see or incapable of seeing the many ways in which her lack of empathy hurts those around her, and the whole Ratliff family, whose cruelties to one another I often found heartbreaking.<br/>- the portrayal of how grief can seep into every person in a family in different, and often contradictory, ways.<br/><br/>The main thing I didn't like about it was that I found it overwrought and a little aimless. The descriptions of, well, everything, tend to wander. From the way that crape myrtle grows on a trellis to Harriet's processing of the departure of her beloved nanny Ida to the many, many reminiscences of the family's old mansion, the narration observes everything in painstaking detail, without ever quite deciding *why* it's doing so. The decision to center the plot around Harriet and Hely means that the reader is tied to the logical leaps and jumps of children, which, for me, takes away some of the sense of momentum of the story. After the first few pages, which so poignantly and terrifyingly set up the central emotional hook of Robin's death, the story bogs down in a seemingly endless maelstrom of familial grief and neglect. The character studies, beautiful as they are, weren't enough for me to feel engaged in the story, and by the end, I felt like I was slogging through.<br/><br/>MASSIVE SPOILER ALERT—Read below at your own risk:<br/><br/><br/><br/><br/>*********<br/><br/><br/><br/><br/>*********<br/><br/>I also can't decide how I feel about the most impactful plot decision in the book—not to reveal Robin's killer. On the one hand, I understand the symbolic effect. We don't often get clean resolutions to the stories of our grief. On the other hand, I hated it, as a reader, and from a plot perspective, I thought it really contributed to the lack of direction in the second half of the story.",,,1,0
50093704,In Five Years,Rebecca Serle,"Serle, Rebecca",,"=""1982137444""","=""9781982137441""",3.0,Atria Books,Hardcover,272,2020,2020,,2022/04/10,,,read,"In Five Years was a solid read. In this kind of story, where you know some of the ending at the beginning, the joy, for me, is always in trying to figure out where you think things are headed and how they're going to get there. The true test of such a book is how enjoyable it is to keep reading even if you do happen to figure it out, and this one passed that test for me. The story's central relationship was so strong and well established that it pulled me through in a very quick read.<br/> <br/>While I was perfectly happy to finish it, the book felt a bit formulaic to me. Dannie, with her over-the-top, perfectly designed life, seemed a little ridiculous at times. That helped to add weight to the lifestyle shift she goes through at the end of the story, but I got a bit tired at yet another description of why Dannie loves her powerful corporate job. Maybe I just don't know a lot of those corporate types (:P). Bella, too, was more of an archetype than a fully-realized person, and other than Dannie and Bella, the characters in the novel are almost entirely flat. That's ok (it's not a long book, so there's only so much real estate for character-building), but I think I would have been more captivated if there were other characters I could root for more strongly. <br/><br/>I doubt I'll read this again, but I did enjoy it, especially for a quick and casual read! ",,,1,0
44318414,The Dutch House,Ann Patchett,"Patchett, Ann",,"=""0062963678""","=""9780062963673""",3.0,Harper,Hardcover,337,2019,2019,2022/04/06,2022/04/06,,,read,,,,1,0
18693763,Everything I Never Told You,Celeste Ng,"Ng, Celeste",,"=""159420571X""","=""9781594205712""",4.0,Penguin Press,Hardcover,297,2014,2014,2022/03/23,2022/04/04,,,read,"I loved this book! After reading Little Fires Everywhere earlier this year, I was eager to read another from Celeste Ng. Even so, I was a little surprised by how much I enjoyed this one, given that Little Fires Everywhere got more hype (from what I saw). <br/><br/>I love a good story about a dysfunctional family, but they can be a bit of a risky proposition. In a not-so-good family drama, all of the problems in the story can be resolved from the outset with a good long conversation and maybe some therapy—and crucially, there's no hint to the reader as to why that conversation doesn't happen. In Everything I Never Told You, though, it's painfully clear what it is that's getting in the way of the happy resolution that everyone wants. All of the characters in this story are lying to one another, but admitting that to themselves would mean abandoning the images they've built up about both themselves and their loved ones. It's a crippling state to be in, and it's one that I think anyone reading the book can empathize with. <br/><br/>The character who suffers most from this self-suppression is Lydia, who, ironically, is also the character best able to perceive the desires of her family members, but I was equally heartbroken at the plight of those around her. Her younger sister, Hannah, just wants to be loved and cared for, but has become a reclusive little ""mouse"" in order to give her parents what they want, which is unfettered access to their favorite child, Lydia. Jack, the neighbor whom Lydia befriends, is secretly in love with her older brother Nathaniel, but can't show it. Nathaniel buries himself in his schoolwork and a fascination with astronauts so that he doesn't have to confront his father, who is cruel to Nathaniel mostly because Nathaniel is too like him. No one is safe from the weight of their own, and others', expectations, and I think that that's what this book is about at its core—the expectations that we have of ourselves and our family members, that communities have about one another (the Lee family being the only Asian-American family in their whitebread suburban town), that we have of the future.<br/><br/>This review is at serious risk of turning into a five-paragraph essay, so I'm going to close it out here and just say that reading this book makes me really grateful to have a family that doesn't deal so heavily in expectation.",true,,1,0
54981009,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,"Dave, Laura",,"=""1501171348""","=""9781501171345""",2.0,Simon & Schuster,Hardcover,307,2021,2021,2022/03/16,2022/04/04,,,read,"I thought this book was a fine mystery/thriller with a relatively interesting set of twists and reveals, but I didn't enjoy the style or the pacing. One of my pet peeves in mystery novels in general is when we, the readers, are too far inside the protagonist's head—that is, when the protagonist has an impossibly rich and detailed internal monologue that essentially carries the reader along without letting them do any of the work for themself. For me, it dampens the fun of the mystery when I don't have to do any real thinking to figure out what's going on! This book definitely went too far in that direction for me—at times, it felt more like reading an instruction manual than a novel. Another thing I wasn't a huge fan of was that the core mystery of the story is revealed within a relatively small section of the book in the middle. The sections before and after that are mostly rote following along. <br/><br/>With that said, there were pieces of the book that I really enjoyed, too! The developing relationship between Hannah and Bailey was genuine and fun, and I liked the ""antagonist"" characters revealed near the end—I just wish they could have had a little bit more time to develop. Of course, the initial hook of the disappearing husband, the inscrutable note, and the bag of cash was immediately absorbing, and over all, I thought the writing was clean and fun to read. Not a book that I'm likely to read again, but I had a good time with it!",,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4.0,Alfred A. Knopf,Hardcover,303,2021,2021,2022/03/09,2022/04/04,,,read,"I really enjoyed this book. Something about the way Klara saw the world really struck a chord with me—I thought it was a convincing guess at what consciousness might feel like as an android, though of course the joy of this story is that it's speculative. I loved how Ishiguro didn't feel pressured to fully explain all of the nuances of exactly how Klara's perception works, e.g. the ""boxes"" that she talks about as a way to describe her vision. In fact, I thought one of my favorite pieces of this story was how thoroughly Ishiguro drops the reader into the story. It was a little more work to try to piece together a coherent vision of how the society in the story works, but I think that that allows the reader more leeway to project their own hopes and fears for the future onto that society and its mechanics. <br/><br/>In the end, though, what really absorbed me was the emotional heft of the relationships at the story's core—Klara and Josie, Josie and Rick, Josie and her mother, Josie's mother and Rick's. Seeing those relationships from the point of view of Klara, who is ignorant of some of the history and context of the characters but is also unencumbered by things like ego or pride, was, I found, a touching light in which to view them. Even absent all of the interesting questions the book raises about technology, humanity, and progress, this would have been a beautiful book about parents trying their best to make a good life for their children, friends trying to make their own way in the world while staying true to their companions, and consciousness (alone!) trying to make sense of its place in the world.",,,1,0
19256975,Journey Under the Midnight Sun,Keigo Higashino,"Higashino, Keigo",Alexander O. Smith,"=""1408704110""","=""9781408704110""",3.0,"Little, Brown",Paperback,539,2015,1999,2022/02/02,2022/02/03,,,read,"My enthusiasm for this book started off low and slowly grew until by the end, I was pretty hooked. The tactic of focusing on different characters in different points of their lives in successive chapters made it a little difficult for me to feel connected to the characters at the beginning, but I would say that that was worth it for the delicious sense of each chapter adding a new facet to the story. The plot was intricate, well-crafted, and full of interesting characters, and I enjoyed the setting in the early days of the internet era, where the notion of what a computer could do was changing by the year. The overall feeling, for me, was one of entanglement in a giant spiderweb, where the truth of the story was the hapless insect slowly being wrapped, chapter by chapter, into a bite-sized bundle. The only thing I would have changed is that I didn't feel like I got to know the antagonists at all. That seemed to me to be by design, but the emotional impact of the final reveal was less intense than I felt it should have been because I didn't really know the characters involved.<br/><br/>Semi-unrelated note: This is the second thriller/mystery novel I've read that was originally written in Japanese (after Bullet Train by Kotaro Isaka). I'm not sure whether it's a feature of Japanese novels writ large or the translations I've read or just these two novels, but I found both to be extremely matter of fact and light on stylistic flair. The plot, far more so than the writing, was the centerpiece. It really makes me wonder if that's the way the two come off in the original Japanese.",,,1,0
